店名,評価,レビュー数,ブックマーク数,代表味分類,住所,市町村,URL
麺屋さん,-,3,16,豚骨,大分県大分市都町3-2-37,大分市,https://tabelog.com/oita/A4401/A440101/44009655/
しんちゃん,-,-,3,不明,大分県臼杵市下ノ江,臼杵市,https://tabelog.com/oita/A4401/A440104/44001505/
九四オレンジフェリー おれんじ九州内売店,3.06,8,35,味噌,大分県臼杵市板知屋1257-7臼杵港,臼杵市,https://tabelog.com/oita/A4401/A440104/44008966/
九州らうめん,3.03,6,76,豚骨,大分県豊後大野市三重町赤嶺1042,豊後大野市,https://tabelog.com/oita/A4401/A440103/44001517/
HAMELN,3.01,1,5,担々麺,大分県中津市豊田町11-10久保ビル 1F,中津市,https://tabelog.com/oita/A4404/A440401/44010518/
南国飯店 十五万石 南大分店,3.03,6,42,豚骨,大分県大分市三ケ田町2-3-5,大分市,https://tabelog.com/oita/A4401/A440101/44009290/
三国ラーメン 本店,3.00,1,25,豚骨,大分県佐伯市宇目塩見1955,佐伯市,https://tabelog.com/oita/A4401/A440105/44008434/
宮夫食堂,-,-,2,不明,大分県中津市宮夫218-1,中津市,https://tabelog.com/oita/A4404/A440401/44011511/
めん六や 大分海原店,3.00,1,9,味噌,大分県大分市大字海原856-1,大分市,https://tabelog.com/oita/A4401/A440101/44010068/
別府辛麺 大翔,-,2,13,不明,大分県別府市浜脇1-8-5,別府市,https://tabelog.com/oita/A4402/A440202/44014291/
くるみ食堂,-,-,7,不明,大分県竹田市直入町長湯75-2171,竹田市,https://tabelog.com/oita/A4401/A440102/44007900/
ラーメン龍源,3.02,2,17,担々麺,大分県大分市猪野21-38,大分市,https://tabelog.com/oita/A4401/A440101/44014264/
元祖辛麺屋桝元 大分たのうらら店,3.03,5,26,不明,大分県大分市神崎字梶原1228-9道の駅たのうらら内 2F,大分市,https://tabelog.com/oita/A4401/A440101/44014017/
ラーメン ひまわり,-,1,41,不明,大分県大分市大字畑中780-1エーワン南大分店 駐車場内,大分市,https://tabelog.com/oita/A4401/A440101/44011659/
幸来軒,3.03,5,123,不明,大分県日田市上野31-1,日田市,https://tabelog.com/oita/A4404/A440403/44001482/
めん六や 大分中津店,-,-,12,不明,大分県中津市沖代町1-670,中津市,https://tabelog.com/oita/A4404/A440401/44010069/
十五万石 亀川店,3.02,3,42,豚骨,大分県別府市亀川浜田町1-10,別府市,https://tabelog.com/oita/A4402/A440202/44007115/
浦の麺屋ごとう,3.00,4,65,豚骨,大分県佐伯市蒲江大字蒲江3546,佐伯市,https://tabelog.com/oita/A4401/A440101/44008431/
上海ラーメン トキハインダストリー佐伯店,3.07,9,116,豚骨,大分県佐伯市池田2064,佐伯市,https://tabelog.com/oita/A4401/A440105/44012323/
おおいた地鶏真鯛ラーメン こうの鶏,3.02,4,93,白湯,大分県大分市大字皆春397-21,大分市,https://tabelog.com/oita/A4401/A440101/44011431/
博多ラーメン 七萬 津守店,3.02,6,49,豚骨,大分県大分市津守富岡461-3,大分市,https://tabelog.com/oita/A4401/A440101/44014086/
台湾料理 吉源 賀来店,3.07,9,61,豚骨,大分県大分市賀来北2-9-10,大分市,https://tabelog.com/oita/A4401/A440101/44012283/
十五万石 荘園店,3.01,1,22,醤油,大分県別府市鶴見4166-1,別府市,https://tabelog.com/oita/A4402/A440202/44009677/
上浦町活性化センターしおさいの里,3.06,9,90,塩,大分県佐伯市津井1460-12,佐伯市,https://tabelog.com/oita/A4401/A440105/44006028/
自己流ラーメン 初代 八戒,3.06,7,72,豚骨,大分県中津市一ツ松162-1ジュネス一ツ松 1F,中津市,https://tabelog.com/oita/A4404/A440401/44013531/
辛麺屋 辛々,3.06,9,63,不明,大分県大分市都町3-5-34,大分市,https://tabelog.com/oita/A4401/A440101/44012710/
十五万石 王子店,3.05,8,46,豚骨,大分県大分市王子西町1-1,大分市,https://tabelog.com/oita/A4401/A440101/44010993/
